1327,,,,3,,,,,1327
1147,,,,7,,,,,1147
3457,,,,6,,,,,3457
3637,,,,6,,,,,1147
3617,,,,5,,,,,3637
3247,,,,5,,,,,3617
1367,,,,5,,,,,3247
3417,,,,7,,,,,1367
4237,,,,1,,,,,3637
1117,,,,1,,,,,3637
1137,,,,4,,,,,3417
4367,,,,6,,,,,4237
1437,,,,3,,,,,1117
3647,,,,4,,,,,3457
3227,,,,5,,,,,1147
4517,,,,4,,,,,1137
4537,,,,5,,,,,4367
4317,,,,4,,,,,1437
1457,,,,7,,,,,3647
1427,,,,3,,,,,3227
4257,,,,2,,,,,3617
3267,,,,6,,,,,3417
1347,,,,1,,,,,4367
4227,,,,1,,,,,1437
4547,,,,,,,,,1137
,,,,,,,,,4517
,,,,,,,,,4537
,,,,,,,,,1367
,,,,,,,,,4537
,,,,,,,,,4317
,,,,,,,,,1457
,,,,,,,,,3417
,,,,,,,,,1457
,,,,,,,,,1427
,,,,,,,,,1367
,,,,,,,,,4257
,,,,,,,,,1147
,,,,,,,,,1327
,,,,,,,,,3417
,,,,,,,,,3267
,,,,,,,,,3267
,,,,,,,,,3617
,,,,,,,,,3457
,,,,,,,,,1137
,,,,,,,,,1147
,,,,,,,,,3637
,,,,,,,,,3457
,,,,,,,,,3617
,,,,,,,,,4517
,,,,,,,,,1147
,,,,,,,,,3247
,,,,,,,,,1457
,,,,,,,,,4537
,,,,,,,,,3267
,,,,,,,,,3227
,,,,,,,,,1437
,,,,,,,,,1367
,,,,,,,,,3637
,,,,,,,,,3227
,,,,,,,,,3457
,,,,,,,,,3267
,,,,,,,,,1427
,,,,,,,,,3457
,,,,,,,,,1427
,,,,,,,,,3637
,,,,,,,,,1347
,,,,,,,,,3267
,,,,,,,,,3647
,,,,,,,,,4317
,,,,,,,,,3417
,,,,,,,,,4367
,,,,,,,,,4257
,,,,,,,,,3647
,,,,,,,,,1367
,,,,,,,,,3267
,,,,,,,,,1457
,,,,,,,,,4367
,,,,,,,,,4537
,,,,,,,,,3247
,,,,,,,,,3247
,,,,,,,,,3227
,,,,,,,,,4517
,,,,,,,,,4227
,,,,,,,,,4517
,,,,,,,,,1327
,,,,,,,,,1457
,,,,,,,,,1457
,,,,,,,,,3617
,,,,,,,,,3417
,,,,,,,,,4537
,,,,,,,,,4317
,,,,,,,,,4317
,,,,,,,,,3227
,,,,,,,,,4367
,,,,,,,,,3647
,,,,,,,,,1147
,,,,,,,,,1457
,,,,,,,,,3247
,,,,,,,,,4367
,,,,,,,,,1137
,,,,,,,,,3417
